"MNG_NO","CLPS_RSK_DSTRCT_NO","N"MNG_NO","CLPS_RSK_DSTRCT_NO","NDMS_DST_DADE_EVL_SN","CLPS_RSK_DSTRCT_NM","DST_DADE_EVL_SCR_SUM","DST_DADE_EVL_GRD_CD","CLPS_RSK_DSTRCT_DSGN_YN","CLPS_RSK_DSTRCT_DSGN_DT","CLPS_RSK_DSTRCT_DSGN_RSN_CN","RSK_RSLV_MSRS_CD","RSK_DTL","RSK_RSLV_MSRS_ETC_CN","MTNC_PLAN_BIZ_AMNT_CN","MTNC_PLAN_BIZ_CST_CN","DST_RSK_DSTRCT_MNG_NO","DST_RSK_DSTRCT_DSGN_SE_CD","DST_RSK_DSTRCT_DSGN_DT","DSTRCT_MTNC_BIZ_PRPL_YN","MTNC_BIZ_ENFC_YR","DEL_YN","FRST_REG_DT","LAST_MDFCN_DT"
"관리번호","붕괴위험지구번호","NDMS재해위험도평가일련번호","붕괴위험지구명","재해위험도평가점수합계","재해위험도평가등급코드","붕괴위험지구지정여부","붕괴위험지구지정일시","붕괴위험지구지정사유내용","위험해소방안코드","위험상세","위험해소방안기타내용","정비계획사업량내용","정비계획사업비내용","재해위험지구관리번호","재해위험지구지정구분코드","재해위험지구지정일시","지구정비사업추진여부","정비사업시행연도","삭제여부","최초등록일시","최종수정일시"
"4215000012","180       ","","성덕3지구(C)","0","SDG005","Y","20251101","붕괴위험","SRD001","","옹벽","","","","","","","","N","2010/03/02 00:00:00","2025/11/01 00:00:00"
"4215000016","181       ","","주문2지구(C)","0","SDG003","Y","20091126"," ","",""," ","","","","","","","","Y","2010/03/09 00:00:00","2016/08/17 16:44:56"
"4215000017","182       ","","강동심곡지구(C)","0","SDG003","Y","20091126"," ","SRD001",""," ","","","","","","","","Y","2010/03/09 00:00:00","2016/08/17 16:44:26"
"4215000018","183       ","","옥계금진지구(C)","0","SDG003","Y","20091126"," ","SRD001",""," ","","","","","","","","Y","2010/03/09 00:00:00","2016/08/17 16:44:20"
"4215000019","184       ","","노암지구(C)","0","SDG003","Y","20091126"," ","",""," ","","","","","","","","Y","2010/04/20 00:00:00","2016/08/17 16:44:35"
"4215000020","185       ","","교1동 1지구(C)","0","SDG003","Y","20091127"," ","SRD001",""," ","","","","","","","","Y","2010/04/20 00:00:00","2016/11/28 11:28:53"
"4215000022","186       ","","교1동3지구(C)","0","SDG003","Y","20091127"," ","",""," ","","","","","","","","Y","2010/04/30 00:00:00","2016/08/17 16:44:01"
"4215000023","187       ","","교1동 4지구(C)","0","SDG003","Y","20091127"," ","SRD001",""," ","","","","","","","","Y","2010/04/30 00:00:00","2016/11/28 11:29:08"
"4215000024","188       ","","교2동지구(C)","0","SDG003","Y","20091127"," ","SRD001",""," ","","","","","","","","Y","2010/04/30 00:00:00","2016/11/28 11:31:06"
"4215000026","189       ","","정동진지구(C)","0","SDG003","Y","20091130"," ","SRD001",""," ","","","","","","","","Y","2010/04/30 00:00:00","2016/08/17 16:43:33"
"4215000028","190       ","","대기지구","64","SDG003","Y","20251101","잦은 낙석 발생으로 도로주변 재해위험 피해 우려","SRD001","보강공사 완료","계단식옹벽","","","","1 ","","3","","N","2010/05/02 00:00:00","2025/11/01 00:00:00"
