HULI_DAM_CNCR_RGN_MNG_NO,RGN_CD,SN,DAM_CNCR_RGN_TYPE_CD,DAM_CNCR_RGN_DSTRCT_TYPE_CD,DSTRCT_NM,DSTRCT_DSGN_RSN_CD,DSGN_YMD,RMV_YMD,DSTRCT_DSGN_RSN_DTL_CN,GRDNT,DONG_CD,STDG_CD,MTN_ADDR_YN,MNLNO,SUBLOTNO,DADDR,RONA_DADDR,ROAD_NM_ADDR_CD,EXPC_DAM_NOHO,EXPC_DAM_NOPE,EXPC_DAM_BLDG_CNT,EXPC_DAM_AREA,ETC_DAM_CN,SHNT_TRGT_HSHD_CNT,SHNT_TRGT_NOPE,SHNT_PLC_NM,ACTC_TNOP,HYTM_NM,HYTM_CD,ACML_RNFL,MAX_HR_RNFL,MAX_CNTY_RNFL,GD_STF_CR_TYPE_CD_1,GD_STF_CR_TYPE_CD_2,XCRD,YCRD,LAST_MDFCN_DT,DEL_YN,DSGN_TYPE,DST_TYPE,DMG_TYPE,RMRK,SSON_SE_CD,NAOL_SE_CD,DSGN_RSN_CLSF_CD,DSTRCT_DSGN_RSN_DTL_CLSF_CN,FRST_REG_DT,DSTRCT_RSN_DTL_CLSF_CD,INST_NM_1,DEPT_NM_1,JBGD_NM_1,JBTTL_NM_1,LOT,LAT
인명피해우려지역관리번호,지역코드,일련번호,피해우려지역유형코드,피해우려지역지구유형코드,지구명,지구지정사유코드,지정일자,해제일자,지구지정사유상세내용,경사도,행정동코드,법정동코드,산주소여부,주지번,부지번,상세주소,도로명상세주소,도로명주소코드,예상피해세대수,예상피해인원수,예상피해건물수,예상피해면적,기타피해내용,대피대상가구수,대피대상인원수,대피장소명,수용인원,우량계명,우량계코드,누적강우량,최대시간강우량,최대연속강우량,안내요원직업유형코드1,안내요원직업유형코드2,X좌표,Y좌표,최종수정일시,삭제여부,지정유형,재해유형,피해유형,비고,계절구분코드,신구구분코드,지정사유분류코드,지구지정사유상세분류내용,최초등록일시,지구사유상세분류코드,기관명1,부서명1,직급명1,직책명1,경도,위도
9999999999,4311000000,26661,001,018,양지지구,006,20251022,20251031,하도 침식/퇴적에 따른 위험성,,4311425329,4311425329,N,17,3,,,,,,,,,,,,,청주시,4311154500,,,,,,,,2025/11/01 13:17:16,,,,,,,00,,,2018/04/16 13:17:16,,,,,,,
9999999999,3020000000,24267,001,018,언더패스(침수우려),006,20250105,20250222,하천범람시 침수,,,3020011100,N,699,,대전광역시 유성구 봉명동 699,대전광역시 유성구 봉명동 699,,,,,,,,,,,.,,,,,,,,,2025/11/01 13:52:12,,,,,,,00,,,2018/04/11 13:52:12,,,,,,,
9999999999,4311000000,20192,001,018,호죽지구,010,20250312,20251018,주거지역 및 농경지 침수우려,,,4311332032,N,637,,,,,,,10,8,,,,,,청주기상지청,,,,,,,,,2025/11/01 13:05:46,,,,,,,00,,,2018/04/09 13:05:46,,,,,,,
N999999999,2647000000,43710093,,,쌍미지구,002,20250329,20250603,,,2647068000,,Y,134,1,쌍미재건축중단공사장 ,,,,,,,,,,,,,,,,,,,,,2025/11/01 14:52:51,N,,,,,001,01,-1,,2018/04/12 14:52:51,,,,,,,
9999999999,4678000000,26485,001,018,다락금 솔밭 공원,018,20250216,20250319,보성강댐 수문 방류시(530톤/초) 다락금 공원 침수,,4678033025,4678033025,Y,31,1,,,,,,,,,,,,,50,,50,50,150,,,968361.380885,1647995.481447,2025/11/01 10:12:43,,,,,,,00,,,2018/04/12 14:49:25,,,,,,127.1540129,34.826077
N999999999,2647000000,43710094,,,연산5동주민센터인근,006,20251009,20251014,,,2647069000,2647010200,N,1290,4,연산5동주민센터인근 복개도로 ,,,,,,,,,,,,,,,,,,,,,2025/11/01 14:56:18,N,,,,,001,01,-1,,2018/04/12 14:56:18,,,,,,,
N999999999,2647000000,43710095,,,포스코더샵파크시티 인근 ,006,20250513,20250803,,,2647065000,2647010200,N,302,3,포스코더샵파크시티 인근 ,,,,,,,,,,,,,,,,,,,,,2025/11/01 14:58:36,N,,,,,001,01,-1,,2018/04/12 14:58:36,,,,,,,
9999999999,4615000000,23300,001,010,업동제,005,20250308,20250327,저수지 하류에 주택(마을)이 형성되어 인명피해가 저수지 붕괴시 인명피해가 우려,,4615055000,4615011000,Y,38,1,,,4615011000104040002070377,4,10,,,,,,,,순천시청,4615061000,70,180,180,,,999544.485277,1664151.57581,2025/11/01 13:26:32,,,,,,,00,,,2017/05/17 14:45:49,,,,,,127.4950098,34.972258
9999999999,4715000000,25575,001,002,장전지구,002,20250821,20251007,매몰 위험,,,4715045029,N,596,,,,,,,,,,,,,,증산,,,,,,,,,2025/11/01 15:09:47,,,,,,,00,,,2017/05/17 15:09:47,,,,,,,
9999999999,4715000000,25577,001,002,남산지구,002,20250609,20251003,매몰 위험,,,,N,162,,경상북도 김천시 남산동 162,경상북도 김천시 남산동 162,,,,,,,,,,,시청,,,,,,,,,2025/11/01 15:19:48,,,,,,,00,,,2017/05/17 15:19:48,,,,,,,
9999999999,4715000000,25578,001,018,후생9길,018,20251023,20251028,침수위험,,,,N,9,,후생9길,후생9길,,,,,,,,,,,시청,,,,,,,,,2025/11/01 15:17:14,,,,,,,00,,,2017/05/17 15:17:14,,,,,,,
9999999999,4715000000,25582,001,002,황금6지구,002,20250320,20250825,사면붕괴,,4715056500,4715010700,Y,6,2,,,4715010700101790003025789,,,,,,,,,,시청,,,,,,,,,2025/11/01 15:27:41,,,,,,,00,,,2017/05/17 15:27:41,,,,,,,
9999999999,4773000000,25704,001,018,대덕저수지,018,20250226,20250409,저수지 노후로 인한 댐마루 침하 및 누수,,,4773043036,N,172,1,,,,,,,,,,,,,안계면,4773043000,,,,,,,,2025/11/01 15:31:01,,,,,,,00,,,2017/05/17 15:31:01,,,,,,,
9999999999,4715000000,25584,001,002,두산지구,002,20250423,20251019,붕괴우려,,,4715043032,Y,91,,,,,,,,,,,,,,부항,,,,,,,,,2025/11/01 15:31:50,,,,,,,00,,,2017/05/17 15:31:50,,,,,,,
