시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
535,240,나인브릭,마포구,1144012000,서울특별시 마포구 서교동 354-10,3784,126.920575,37.553819,192981.87708,550480.363428
536,245,호텔써클,마포구,1144012200,서울특별시 마포구 합정동 382-17,2017,126.910746,37.548873,192112.805507,549932.204724
537,244,호텔 서강스테이,마포구,1144011000,서울특별시 마포구 노고산동 106-41,688,126.935806,37.553473,194327.697094,550440.865764
550,215,서교동주민센터,마포구,1144012000,서울특별시 마포구 서교동 478-5,537,126.914598,37.555587,192453.891128,550677.021245
551,222,합정동주민센터,마포구,1144012200,서울특별시 마포구 합정동 473-0,176,129.912131,37.551596,457357.935805,554218.730526
552,237,성산중학교,마포구,1144012200,서울특별시 마포구 합정동 365-1,928,126.915644,37.546741,192545.391312,549695.180982
553,90,성산초등학교,마포구,1144012200,서울특별시 마포구 합정동 427-2,803,126.911083,37.553334,192143.045791,550427.279705
554,195,마포구민체육센터,마포구,1144012300,서울특별시 마포구 망원동 450-3,1490,126.896636,37.556386,190866.868407,550767.29436
555,196,마포구민체육센터,마포구,1144012300,서울특별시 마포구 망원동 450-3,405,126.896636,37.556386,190866.868407,550767.29436
556,217,망원2동주민센터,마포구,1144012300,서울특별시 마포구 망원동 436-14,651,126.902352,37.560241,191372.372627,551194.613756
557,243,라뉘호텔,마포구,1144011000,서울특별시 마포구 노고산동 106-28,4960,126.936153,37.55355,194358.316958,550449.44316
236,172,상암초등학교,마포구,1144012700,서울특별시 마포구 상암동 1635-0,660,126.892057,37.576362,190464.798128,552984.807803
237,190,상암고등학교,마포구,1144012700,서울특별시 마포구 상암동 1659-0,801,126.883743,37.581568,189731.114186,553563.534993
238,188,상지초등학교,마포구,1144012700,서울특별시 마포구 상암동 1676-0,779,126.882045,37.579805,189580.859933,553368.087899
239,233,상암경로문화센터,마포구,1144012700,서울특별시 마포구 상암동 41-21,317,126.893272,37.577043,190572.260026,553060.263887
240,194,마포대진유치원,마포구,1144012400,서울특별시 마포구 연남동 493-6,1024,126.91939,37.561882,192877.875498,551375.30571
243,201,성미산체육관,마포구,1144012500,서울특별시 마포구 성산동 44-0,40,126.912123,37.562216,192235.888297,551412.963461
244,200,성미산체육관,마포구,1144012500,서울특별시 마포구 성산동 44-0,1500,126.912123,37.562216,192235.888297,551412.963461
245,224,마포장애인종합복지관,마포구,1144012500,서울특별시 마포구 성산동 275-3,157,126.90843,37.563804,191909.818286,551589.514277
246,205,마포구청,마포구,1144012500,서울특별시 마포구 성산동 370-0,203,126.901769,37.566131,191321.545283,551848.388339
247,219,성산2동주민센터,마포구,1144012500,서울특별시 마포구 성산동 603-0,140,126.908946,37.568593,191955.87957,552121.00308
248,151,한국우진학교,마포구,1144012600,서울특별시 마포구 중동 64-2,553,126.90331,37.571583,191458.297205,552453.400181
249,232,가좌행복경로당,마포구,1144012600,서울특별시 마포구 중동 271-0,139,126.912523,37.569515,192271.991113,552223.010862
269,226,마포문화원,마포구,1144010300,서울특별시 마포구 신공덕동 158-0,116,126.955404,37.54221,196058.834117,549189.874172
270,3,아현초등학교,마포구,1144010100,서울특별시 마포구 아현동 267-2,1782,126.957095,37.556588,196208.93492,550785.584235
271,236,아현문화건강센터,마포구,1144010100,서울특별시 마포구 아현동 770-0,179,126.952034,37.55175,195761.498875,550248.854538
272,229,아현동주민센터,마포구,1144010200,서울특별시 마포구 공덕동 458-0,109,126.952196,37.54711,195775.541441,549733.865253
273,239,에이치에비뉴 이대점,마포구,1144011000,서울특별시 마포구 노고산동 1-74,2772,126.942516,37.556287,194920.772138,550752.794757
274,220,연남동주민센터,마포구,1144012400,서울특별시 마포구 연남동 250-9,349,126.92321,37.564116,193215.619762,551622.983025
275,148,성서중학교,마포구,1144012500,서울특별시 마포구 성산동 587-4,1955,126.908463,37.563098,191912.645195,551511.195906
283,223,마포구육아종합지원센터,마포구,1144012700,서울특별시 마포구 상암동 1686-0,127,126.883634,37.580547,189721.376888,553450.255238
284,227,상암동주민센터,마포구,1144012700,서울특별시 마포구 상암동 1616-0,183,126.894745,37.578298,190702.49674,553199.486571
285,213,도화동주민센터,마포구,1144010400,서울특별시 마포구 도화동 557-0,398,126.949919,37.541471,195574.015495,549108.066033
286,228,서강동주민센터,마포구,1144011400,서울특별시 마포구 창전동 246-0,77,126.932096,37.547726,193999.387285,549803.280206
287,234,서강동자치회관,마포구,1144011500,서울특별시 마포구 상수동 397-0,152,126.926972,37.545061,193546.385848,549507.866682
288,30,소의초등학교,마포구,1144010100,서울특별시 마포구 아현동 386-1,401,126.960844,37.552191,196540.067813,550297.348487
300,359,동대문구청,동대문구,1123010200,서울특별시 동대문구 용두동 39-9,730,127.03992,37.574285,203526.461538,552749.634218
371,338,창신3동주민센터,종로구,1111017400,서울특별시 종로구 창신동 23-816,118,127.01473,37.578026,201301.179419,553164.189412
372,26,숭인1동주민센터,종로구,1111017500,서울특별시 종로구 숭인동 55-2,770,127.015633,37.577836,201380.912614,553143.10227
373,343,숭인상록경로당,종로구,1111017500,서울특별시 종로구 숭인동 55-2,244,127.015593,37.577808,201377.414243,553139.957385
374,340,숭인2동주민센터,종로구,1111017500,서울특별시 종로구 숭인동 178-167,256,127.019986,37.574886,201765.514215,552815.79356
375,370,아름꿈도서관,종로구,1111017500,서울특별시 종로구 숭인동 242-7,639,127.017131,37.572687,201513.304297,552571.59805
402,17,덕수초등학교,중구,1114016700,서울특별시 중구 정동 1-76,897,126.974851,37.568986,197778.277503,552161.040484
403,50,훈련원공원 종합체육관,중구,1114015100,서울특별시 중구 을지로5가 1-42,747,127.003879,37.567387,200342.67703,551983.303249
404,56,성동글로벌경영고등학교,중구,1114016200,서울특별시 중구 신당동 250-3,554,127.012995,37.565826,201148.101261,551810.042922
421,321,효제초등학교,종로구,1111016200,서울특별시 종로구 효제동 255-4,486,127.002931,37.572674,200258.936834,552570.065689
422,361,종로56가동주민센터,종로구,1111016200,서울특별시 종로구 효제동 173-2,160,127.005068,37.572051,200447.680045,552500.892433
423,57,회현체육센터,중구,1114012100,서울특별시 중구 회현동1가 148-8,701,126.981631,37.556094,198376.903239,550730.071686
424,52,충무교회,중구,1114012300,서울특별시 중구 회현동3가 4-1,598,126.984422,37.560012,198623.572737,551164.881986
425,3,남산초등학교,중구,1114012900,서울특별시 중구 남산동2가 2,245,126.986414,37.55986,198799.583306,551147.893466
426,4,덕수중학교,중구,1114013400,서울특별시 중구 인현동2가 3-0,756,126.997407,37.56546,199770.88221,551769.353874
427,53,성동고등학교,중구,1114016200,서울특별시 중구 신당동 161-0,877,127.022898,37.564162,202023.023218,551625.607654
428,31,중림종합사회복지관,중구,1114017100,서울특별시 중구 중림동 155-1,198,126.966154,37.559472,197009.526756,551105.317245
440,413,무학초등학교,성동구,1120010200,서울특별시 성동구 하왕십리동 950-1,855,127.02953,37.56294,202609.035705,551490.103514
441,478,왕십리제2동주민센터,성동구,1120010200,서울특별시 성동구 하왕십리동 973-9,70,127.031055,37.561855,202743.793384,551369.664788
442,477,왕십리도선동주민센터,성동구,1120010100,서울특별시 성동구 상왕십리동 813-0,313,127.025578,37.567873,202259.69899,552037.552901
443,412,숭신초등학교,성동구,1120010200,서울특별시 성동구 하왕십리동 1068-0,1923,127.027769,37.567772,202453.265204,552026.346967
444,468,리젠트,성동구,1120010400,서울특별시 성동구 도선동 144-0,89,127.034474,37.562817,203045.808267,551476.619552
445,470,라테라,성동구,1120010400,서울특별시 성동구 도선동 98-0,50,127.035094,37.56347,203100.577577,551549.111818
446,54,광희초등학교,중구,1114016200,서울특별시 중구 신당동 254-18,231,127.015117,37.567396,201335.52509,551984.360314
447,301,교동초등학교,종로구,1111013400,서울특별시 종로구 경운동 2,343,126.987747,37.574764,198917.569768,552802.048097
458,480,사근동주민센터,성동구,1120010600,서울특별시 성동구 사근동 223-22,97,127.045367,37.561451,204008.339249,551325.342988
459,416,행당초등학교,성동구,1120010700,서울특별시 성동구 행당동 320-60,554,127.034695,37.556392,203065.612163,550763.504474
460,442,성동구청,성동구,1120010700,서울특별시 성동구 행당동 7-0,529,127.036734,37.563345,203245.474373,551535.273678
461,481,행당제1동주민센터,성동구,1120010700,서울특별시 성동구 행당동 139-0,127,127.036119,37.558574,203191.351034,551005.699105
462,71,성동공업고등학교,중구,1114016300,서울특별시 중구 흥인동 1-1,738,127.016865,37.56878,201489.943842,552137.984443
463,9,장충초등학교,중구,1114016200,서울특별시 중구 신당동 386-86,567,127.011105,37.559466,200981.153493,551104.195264
464,76,루미아호텔,중구,1114012100,서울특별시 중구 회현동1가 99-18,297,126.979787,37.558051,198214.072011,550947.223391
465,78,베이튼호텔,중구,1114015400,서울특별시 중구 오장동 186-0,1488,127.002758,37.565212,200243.646575,551741.819208
471,476,파라다이스,성동구,1120010400,서울특별시 성동구 도선동 156-0,84,127.034537,37.563039,203051.345043,551501.21214
472,414,동마중학교,성동구,1120010500,서울특별시 성동구 마장동 405-45,659,127.039712,37.562685,203508.613701,551462.128452
473,415,사근초등학교,성동구,1120010600,서울특별시 성동구 사근동 291-5,630,127.047668,37.562691,204211.537722,551463.121145
760,366,구로3동주민센터,구로구,1153010200,서울특별시 구로구 구로동 287-3,173,126.890325,37.487346,190300.290981,543105.392447
761,379,개봉2동주민센터,구로구,1153010700,서울특별시 구로구 개봉동 261-6,187,126.856456,37.490839,187305.464209,543497.025955
806,358,매동초등학교,종로구,1111011300,서울특별시 종로구 필운동 32-0,330,126.966316,37.577262,197024.589567,553079.7856
807,331,종로문화체육센터,종로구,1111011500,서울특별시 종로구 사직동 284-1,734,126.964625,37.574132,196875.014885,552732.478803
808,335,삼청동주민센터,종로구,1111014000,서울특별시 종로구 삼청동 105-1,155,126.981776,37.584975,198390.374083,553935.44209
809,304,세검정초등학교,종로구,1111018600,서울특별시 종로구 신영동 219-4,470,126.96096,37.603174,196552.60747,555955.901282
810,333,평창동주민센터,종로구,1111018300,서울특별시 종로구 평창동 186-9,108,126.968398,37.606371,197209.568214,556310.471658
589,247,스탠포드호텔,마포구,1144012700,서울특별시 마포구 상암동 1587-0,26300,126.886666,37.582364,189989.431723,553651.510933
590,175,창천중학교,마포구,1144011000,서울특별시 마포구 노고산동 33-1,849,126.93932,37.554855,194638.271429,550594.080583
