관리번호,붕괴위험지구번호,붕괴위험지구명,재해위험평가점수합계,재해위험평가등급코드,붕괴위험지구지정여부,붕괴위험지구지정일자,붕괴위험지구지정사유내용,위험해소조치코드,삭제여부,최초등록일시,최종수정일시
4272000072,293,군도17호선(홍천-20)(C),0.0,SDG003,Y,20251101.0,급경사지 붕괴위험지구,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4272000075,294,서석215호선(홍천23)(C),0.0,SDG005,Y,20251101.0,도로절개지 사면으로 대형 암반 돌출로 지속관찰 요망,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4272000090,295,군도14호선1(홍천-39)(C),0.0,SDG004,Y,20251101.0,낙석 및 붕괴위험,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4272000093,296,홍천-42(방내지구)(C),0.0,SDG004,Y,20251101.0,도로절개지 사면으로 산사태 및 낙석 위험요인 있음,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4272000109,297,서면202호선(홍천-44)(C),0.0,SDG003,Y,20251101.0, ,SRD001,N,2010/05/03 0:00,2025/11/01 0:00
4272000111,298,홍천-46(C),0.0,SDG003,Y,20251101.0,급경사지붕괴위험지역 지정,SRD001,N,2010/05/03 0:00,2025/11/01 0:00
4128500001,2447,한영빌라 옹벽,65.0,SDG004,Y,20251101.0,붕괴로 인한 인명 및 재산보호,,N,2016/12/28 13:23,2025/11/01 0:00
4683000062,1713,영암-01지구,54.0,SDG003,Y,20251101.0,붕괴위험지구,,N,2016/08/03 9:13,2025/11/01 0:00
4683000065,1714,영암-04지구,62.0,SDG004,Y,20251101.0,붕괴위험지구,,N,2016/08/03 10:10,2025/11/01 0:00
4211000112,2124,춘천73(한덕리),57.0,SDG003,Y,20160901.0,붕괴위험지역,,Y,2016/09/26 19:18,2016/09/30 17:00
4211000056,2125,춘천49(방하리),54.0,SDG003,Y,20160901.0,붕괴위험지역,,Y,2016/09/26 19:20,2016/09/30 16:59
4822000119,1889,벼락당,0.0,SDG002,N,20031231.0,정비사업 완료,,N,2016/09/27 8:52,2016/09/27 8:52
4822000117,2170,흙구덕,0.0,SDG002,N,20160205.0,정비사업 완료,,N,2016/09/27 8:54,2016/09/27 8:54
4221000001,2190,금호지구,26.0,SDG002,N,20141223.0,정비사업 완료에 따른 위험요소 해소,SRD999,N,2016/09/27 9:49,2016/09/27 17:16
4215000012,2217,성덕3지구,82.0,SDG005,N,20160926.0,정비사업으로 위험요소 해소,SRD001,N,2016/09/27 17:49,2016/09/27 17:49
4272000102,2182,율전18,42.0,SDG003,Y,20101101.0,ㅇ,,Y,2016/09/27 20:51,2016/09/27 20:52
4889000161,2184,합천10지구,53.0,SDG003,Y,20251101.0,급경사지정비 필요,SRD001,N,2016/09/28 11:03,2025/11/01 0:00
4889000012,2236,제내1지구,61.0,SDG004,Y,20160217.0,급경사지 정비 필요,SRD001,Y,2016/09/28 12:41,2017/02/22 9:04
4777000027,2263,대탄지구,56.0,SDG003,Y,20251101.0,붕괴위험지구 판정,SRD001,N,2016/09/29 14:09,2025/11/01 0:00
4688000138,2321,문암7,62.0,SDG004,Y,20251101.0,사면붕괴 및 낙석위험으로 주택 및 인명피해 우려,,N,2016/10/11 16:25,2025/11/01 0:00
