인명피해우려지역관리번호,지구명,피해우려지역유형코드,피해우려지역지구유형코드,지구지정사유코드,지정일자,해제일자,법정동코드,주지번,예상피해세대수,예상피해인원수,예상피해건물수,경도,위도,X좌표,Y좌표,신구구분코드,최종수정일시
N999999999,정림동 자연재해위험개선지구,,,6,20250914,20250929,3017010400.0,481.0,,,,127.3631045,36.2994954,987708.7543,1811361.376,1,2025/11/01 13:40
9999999999,벌영지구,1.0,18.0,10,20250303,20251010,4777036035.0,2.0,404.0,746.0,,129.4030955,36.5403228,1170353.006,1839750.651,0,2025/11/01 8:31
9999999999,대진지구(2017-26),1.0,1.0,1,20250815,20250919,4777036032.0,20.0,14.0,31.0,,129.4303506,36.5576742,1172754.342,1841724.288,0,2025/11/01 8:27
9999999999,오포지구(2016-42),1.0,1.0,1,20250710,20250820,4777031032.0,67.0,18.0,24.0,,129.3815763,36.3563587,1168824.87,1819303.647,0,2025/11/01 8:25
9999999999,배다리 지하상가,1.0,18.0,18,20250104,20250113,2814010600.0,10.0,24.0,26.0,24.0,126.6364287,37.4730671,923640.7004,1941888.433,0,2025/11/01 20:37
2823720040,십정동360번지일원 침수지역,1.0,18.0,18,20250612,20250612,2823710200.0,360.0,,,,,,,,0,2025/11/01 9:29
2818500000,소2-12(논고개길),1.0,16.0,18,20250201,20250609,2818510500.0,720.0,36.0,108.0,0.0,,,0.0,0.0,0,2025/11/01 16:21
2872000000,덕적면 일원,1.0,17.0,14,20250314,20250616,2872035021.0,204.0,25.0,30.0,20.0,126.1169217,37.2515385,877342.4752,1917858.157,0,2025/11/01 14:22
9999999999,임곡지구,1.0,3.0,8,20250728,20250923,2920013500.0,642.0,0.0,0.0,0.0,126.7340091,35.2383387,930304.6411,1693928.233,0,2025/11/01 19:31
9999999999,황산지구,1.0,2.0,2,20250312,20250609,4719025327.0,69.0,,,,128.2861559,36.2096602,1070667.015,1801674.634,0,2025/11/01 9:46
9999999999,도량3지구,1.0,2.0,2,20250704,20250727,4719010300.0,37.0,,,,128.3288489,36.1459641,1074565.073,1794641.324,0,2025/11/01 9:37
9999999999,치산1지구,1.0,2.0,2,20250713,20250811,4723032021.0,129.0,,,,128.7178209,36.0414025,1109704.466,1783411.619,0,2025/11/01 9:35
9999999999,한동지구,1.0,17.0,18,20250201,20250318,5011025600.0,1669.0,,,,,,,,0,2025/11/01 13:15
9999999999,용흥4지구,1.0,1.0,1,20250601,20250901,4711311700.0,89.0,0.0,0.0,0.0,129.3558939,36.0424778,1167186.631,1784438.359,0,2025/11/01 21:43
9999999999,자구실지구,1.0,18.0,18,20250921,20251030,4511113900.0,391.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 16:19
9999999999,용흥5지구,1.0,1.0,1,20251013,20251019,4711311700.0,97.0,0.0,0.0,0.0,129.360331,36.0408658,1167589.803,1784267.167,0,2025/11/01 21:44
9999999999,용흥6지구,1.0,1.0,1,20250421,20251001,4711311700.0,110.0,0.0,0.0,0.0,129.3541499,36.0387952,1167037.287,1784026.839,0,2025/11/01 21:46
9999999999,종광대지구,1.0,2.0,2,20250331,20251007,4511310300.0,705.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 17:26
9999999999,명주길지구,1.0,2.0,2,20251023,20251030,4511310400.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 17:31
9999999999,온양1지구,1.0,6.0,8,20250113,20250711,3171025600.0,299.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 16:12
9999999999,팔산2지구,1.0,1.0,1,20250103,20250617,4682037025.0,921.0,,,,,,,,0,2025/11/01 16:31
N999999999,괘감로,,,18,20251001,20251029,2653010400.0,578.0,,,,,,,,1,2025/11/01 17:18
9999999999,노리지구,1.0,9.0,9,20250814,20250916,4783031033.0,630.0,25.0,48.0,,,,,,0,2025/11/01 17:42
