shelter_id,region_code,shelter_name,sido,sigungu,address,lon,lat,shelter_type,area
185,1165000000,서울지방조달청 테니스장,서울특별시,서초구,서울특별시 서초구 반포대로 217(반포동),127.002453,37.499301,옥외대피소,1184.0
186,1162000000,사우촌어린이공원,서울특별시,관악구,서울특별시 관악구 신림동 1555-1,126.934174,37.467563,옥외대피소,339.0
187,1162000000,태양어린이공원,서울특별시,관악구,서울특별시 관악구 신림동 1542-1,126.936486,37.468497,옥외대피소,345.0
188,1162000000,무궁화어린이공원,서울특별시,관악구,서울특별시 관악구 신림동 645-1,126.923566,37.469681,옥외대피소,660.0
189,1165000000,누에소공원,서울특별시,서초구,서울특별시 서초구 잠원동 160-3,127.008449,37.50923,옥외대피소,1720.0
190,1171000000,가락초등학교,서울특별시,송파구,서울특별시 송파구 송파대로37길 45(가락동),127.107791,37.499908,옥외대피소,2303.0
191,1162000000,신라어린이공원,서울특별시,관악구,서울특별시 관악구 신림동 744-1,126.912582,37.473606,옥외대피소,514.0
192,1162000000,한라어린이공원,서울특별시,관악구,서울특별시 관악구 신림동 750-39,126.914744,37.475677,옥외대피소,479.0
193,1129000000,아름어린이공원,서울특별시,성북구,서울특별시 성북구 길음동 1287-3,127.015968,37.607553,옥외대피소,3735.0
194,1165000000,잠원흥동소공원,서울특별시,서초구,서울특별시 서초구 잠원동 162-1,127.000426,37.507746,옥외대피소,2000.0
195,1165000000,새싹어린이공원,서울특별시,서초구,서울특별시 서초구 서초동 1686-10,127.018272,37.497541,옥외대피소,840.0
196,1114000000,훈련원공원,서울특별시,중구,서울특별시 중구 을지로 227(을지로5가),127.003892,37.56737,옥외대피소,13685.0
197,1111000000,국립 서울농학교 운동장,서울특별시,종로구,서울특별시 종로구 필운대로 103(신교동),126.968651,37.584888,옥외대피소,500.0
198,1162000000,은천어린이공원,서울특별시,관악구,서울특별시 관악구 봉천동 635-309,126.94302,37.488301,옥외대피소,443.0
199,1165000000,효령어린이공원,서울특별시,서초구,서울특별시 서초구 방배동 906-14,126.997549,37.483163,옥외대피소,1432.0
200,1165000000,우면수변공원,서울특별시,서초구,서울특별시 서초구 우면동 749,127.013599,37.45584,옥외대피소,21609.0
201,1162000000,봉천어린이공원,서울특별시,관악구,서울특별시 관악구 봉천동 1707-2,126.964469,37.469262,옥외대피소,651.0
202,1162000000,대협어린이공원,서울특별시,관악구,서울특별시 관악구 신림동 746-32,126.913376,37.474833,옥외대피소,391.0
203,1162000000,장미어린이공원,서울특별시,관악구,서울특별시 관악구 봉천동 148-103,126.962395,37.479126,옥외대피소,423.0
204,1135000000,청암중고등학교,서울특별시,노원구,서울특별시 노원구 중계로 244(중계동),127.073654,37.651345,옥외대피소,1280.0
205,1174000000,고덕중학교 운동장,서울특별시,강동구,서울특별시 강동구 동남로82길 94(고덕동),127.161314,37.560198,옥외대피소,4000.0
206,1129000000,장위3동 마을공원,서울특별시,성북구,서울특별시 성북구 돌곶이로32길 39-8 (장위동),127.053366,37.617002,옥외대피소,5331.0
207,1129000000,간대어린이공원,서울특별시,성북구,서울특별시 성북구 장월로33길 5-10 (장위동),127.050662,37.618209,옥외대피소,6192.1
208,1135000000,불암초등학교,서울특별시,노원구,서울특별시 노원구 중계로 178(중계동),127.0804,37.651,옥외대피소,11351.0
209,1135000000,영신여자고등학교,서울특별시,노원구,서울특별시 노원구 중계로16나길 13(중계동),127.0829,37.6522,옥외대피소,14886.0
210,1165000000,파리15구공원,서울특별시,서초구,서울특별시 서초구 반포동 68-2,126.999165,37.499517,옥외대피소,708.0
211,1162000000,으뜸어린이공원,서울특별시,관악구,서울특별시 관악구 봉천동 1731,126.94104,37.478485,옥외대피소,3232.0
212,1130500000,번남어린이공원,서울특별시,강북구,서울특별시 강북구 오패산로77길 41(번동),127.02493,37.635793,옥외대피소,1003.0
213,1130500000,강북중학교운동장,서울특별시,강북구,서울특별시 강북구 한천로150길 67(수유동),127.025972,37.644769,옥외대피소,3312.0
214,1130500000,솔밭(근린)공원,서울특별시,강북구,서울특별시 강북구 삼양로 561(우이동),127.012177,37.652119,옥외대피소,37911.0
215,1130500000,번동중학교운동장,서울특별시,강북구,서울특별시 강북구 오현로35길 87(번동),127.036848,37.632117,옥외대피소,4356.0
216,1126000000,중화고등학교운동장,서울특별시,중랑구,서울특별시 중랑구 봉화산로27길 62(중화동),127.082774,37.604472,옥외대피소,502.0
217,1130500000,화계초등학교운동장,서울특별시,강북구,서울특별시 강북구 솔매로50가길 25(미아동),127.029156,37.623864,옥외대피소,2135.0
218,1130500000,강북구견인차량보관소(우이동 교통광장),서울특별시,강북구,서울특별시 강북구 우이동 산 99-2,127.012734,37.663538,옥외대피소,2395.0
219,1129000000,서울대학교 사범대학 부설 중학교 운동장,서울특별시,성북구,서울특별시 성북구 월곡로 36(종암동),127.038968,37.595804,옥외대피소,18452.0
220,1129000000,서울대학교 사범대학 부설 고등학교 운동장,서울특별시,성북구,서울특별시 성북구 월곡로 6(종암동),127.037811,37.592727,옥외대피소,12736.0
221,1171000000,올림픽공원,서울특별시,송파구,서울특별시 송파구 올림픽로 424(방이동),127.116061,37.521353,옥외대피소,37270.0
222,1171000000,오금공원,서울특별시,송파구,서울특별시 송파구 오금로 363(오금동),127.131637,37.500811,옥외대피소,219167.0
223,1126000000,중곡초등학교운동장,서울특별시,중랑구,서울특별시 중랑구 면목로23길 20(면목동),127.083592,37.574329,옥외대피소,4900.0
