facility_id,facility_name,sido,sigungu,address,lon,lat,facility_type,area
553,성산초등학교,서울특별시,마포구,서울특별시 마포구 합정동 427-2,126.911083,37.553334,임시주거시설,803
554,마포구민체육센터,서울특별시,마포구,서울특별시 마포구 망원동 450-3,126.896636,37.556386,임시주거시설,1490
555,마포구민체육센터,서울특별시,마포구,서울특별시 마포구 망원동 450-3,126.896636,37.556386,임시주거시설,405
556,망원2동주민센터,서울특별시,마포구,서울특별시 마포구 망원동 436-14,126.902352,37.560241,임시주거시설,651
557,라뉘호텔,서울특별시,마포구,서울특별시 마포구 노고산동 106-28,126.936153,37.55355,임시주거시설,4960
236,상암초등학교,서울특별시,마포구,서울특별시 마포구 상암동 1635-0,126.892057,37.576362,임시주거시설,660
237,상암고등학교,서울특별시,마포구,서울특별시 마포구 상암동 1659-0,126.883743,37.581568,임시주거시설,801
238,상지초등학교,서울특별시,마포구,서울특별시 마포구 상암동 1676-0,126.882045,37.579805,임시주거시설,779
239,상암경로문화센터,서울특별시,마포구,서울특별시 마포구 상암동 41-21,126.893272,37.577043,임시주거시설,317
240,마포대진유치원,서울특별시,마포구,서울특별시 마포구 연남동 493-6,126.91939,37.561882,임시주거시설,1024
243,성미산체육관,서울특별시,마포구,서울특별시 마포구 성산동 44-0,126.912123,37.562216,임시주거시설,40
244,성미산체육관,서울특별시,마포구,서울특별시 마포구 성산동 44-0,126.912123,37.562216,임시주거시설,1500
245,마포장애인종합복지관,서울특별시,마포구,서울특별시 마포구 성산동 275-3,126.90843,37.563804,임시주거시설,157
246,마포구청,서울특별시,마포구,서울특별시 마포구 성산동 370-0,126.901769,37.566131,임시주거시설,203
247,성산2동주민센터,서울특별시,마포구,서울특별시 마포구 성산동 603-0,126.908946,37.568593,임시주거시설,140
248,한국우진학교,서울특별시,마포구,서울특별시 마포구 중동 64-2,126.90331,37.571583,임시주거시설,553
249,가좌행복경로당,서울특별시,마포구,서울특별시 마포구 중동 271-0,126.912523,37.569515,임시주거시설,139
269,마포문화원,서울특별시,마포구,서울특별시 마포구 신공덕동 158-0,126.955404,37.54221,임시주거시설,116
270,아현초등학교,서울특별시,마포구,서울특별시 마포구 아현동 267-2,126.957095,37.556588,임시주거시설,1782
271,아현문화건강센터,서울특별시,마포구,서울특별시 마포구 아현동 770-0,126.952034,37.55175,임시주거시설,179
